world_id,name,description,default_world,updated_at
1,"Enchanted Forest","A magical forest where animals speak and adventures unfold.",1,"2026-03-12 16:15:42"
2,"Undersea Kingdom","A vibrant ocean world filled with coral cities and sea creatures.",1,"2026-03-12 16:15:42"
3,"Castle Realm","A medieval land of castles, knights, and dragons.",0,"2026-03-12 16:20:43"
4,"Space Explorers","A futuristic universe where young explorers travel between planets.",0,"2026-03-12 16:20:43"
5,"Hidden Jungle","A dense jungle filled with ancient temples and curious animals.",0,"2026-03-12 16:20:43"
6,"Sky Kingdom","Floating islands high above the clouds connected by bridges of light.",0,"2026-03-12 16:20:43"
7,"Crystal Caverns","An underground world of glowing crystals and hidden tunnels.",0,"2026-03-12 16:20:43"
8,"Mystic Desert","A vast desert with hidden oases and ancient spirits.",0,"2026-03-12 16:22:33"
9,"Frozen Tundra","A cold northern land of snow creatures and icy caves.",0,"2026-03-12 16:22:33"
10,"Golden Savannah","Wide grasslands where animals roam beneath golden sunsets.",0,"2026-03-12 16:22:33"
11,"Ancient Library","A mysterious library containing books that hold magical stories.",0,"2026-03-12 16:22:33"
12,"Rainbow Valley","A bright valley where colors behave like magic.",0,"2026-03-12 16:22:33"
13,"Clockwork City","A mechanical city powered by gears and steam.",0,"2026-03-12 16:22:33"
14,"Moon Colony","A peaceful colony built on the moon.",0,"2026-03-12 16:22:33"
15,"Dream Meadows","Fields where dreams become real.",0,"2026-03-12 16:22:33"
16,"Hidden Canyon","Deep canyon passages filled with echoes and secrets.",0,"2026-03-12 16:22:34"
17,"Thunder Plains","Open plains where storms roll endlessly.",0,"2026-03-12 16:22:34"
18,"Coral Reef Kingdom","Colorful reefs inhabited by friendly sea creatures.",0,"2026-03-12 16:22:34"
19,"Fire Mountain","A volcanic world where lava lights the sky.",0,"2026-03-12 16:22:34"
20,"Hidden Valley","A secret valley protected by towering cliffs.",0,"2026-03-12 16:22:34"
21,"Crystal Lake Realm","A peaceful realm centered around a glowing lake.",0,"2026-03-12 16:22:34"
22,"Windy Highlands","Rolling hills where powerful winds shape the land.",0,"2026-03-12 16:22:34"
23,"Shimmering Coast","Beaches where the ocean sparkles with magic.",0,"2026-03-12 16:22:34"
24,"Aurora Skies","Floating lands under glowing northern lights.",0,"2026-03-12 16:22:34"
25,"Whispering Marsh","A misty marsh where reeds whisper ancient stories.",0,"2026-03-12 16:22:34"
26,"Great Prairie","A wide prairie filled with wild horses.",0,"2026-03-12 16:22:34"
27,"Starlight Harbor","A harbor where ships sail under star-filled skies.",0,"2026-03-12 16:22:34"
28,"Luminous Garden","Gardens filled with glowing flowers.",0,"2026-03-12 16:22:34"
29,"River Kingdom","A kingdom built along a great winding river.",0,"2026-03-12 16:22:34"
30,"Hidden Isles","Small islands scattered across a peaceful sea.",0,"2026-03-12 16:22:34"
31,"Storm Peaks","Jagged mountains where lightning strikes often.",0,"2026-03-12 16:22:34"
32,"Emerald Forest","A lush forest glowing with green light.",0,"2026-03-12 16:22:34"
